iter	Passed	Remaining
413	3971	824
414	3981	815
415	3990	805
416	4000	796
417	4008	786
418	4018	776
419	4028	767
420	4039	758
421	4047	748
422	4057	738
423	4067	729
424	4077	719
425	4085	709
426	4095	700
427	4104	690
428	4114	681
429	4124	671
430	4134	661
431	4144	652
432	4153	642
433	4161	632
434	4169	623
435	4178	613
436	4188	603
437	4199	594
438	4207	584
439	4216	574
440	4226	565
441	4234	555
442	4245	546
443	4255	536
444	4266	527
445	4276	517
446	4284	508
447	4294	498
448	4303	488
449	4313	479
450	4323	469
451	4333	460
452	4343	450
453	4353	441
454	4363	431
455	4372	421
456	4381	412
457	4391	402
458	4401	393
459	4409	383
460	4420	373
461	4430	364
462	4440	354
463	4450	345
464	4461	335
465	4471	326
466	4481	316
467	4491	307
468	4501	297
469	4511	287
470	4521	278
471	4531	268
472	4541	259
473	4550	249
474	4560	240
475	4571	230
476	4579	220
477	4586	211
478	4596	201
479	4606	191
480	4616	182
481	4627	172
482	4636	163
483	4646	153
484	4655	143
485	4665	134
486	4675	124
487	4685	115
488	4693	105
489	4703	95
490	4712	86
491	4723	76
492	4731	67
493	4741	57
494	4749	47
495	4759	38
496	4769	28
497	4779	19
498	4789	9
499	4800	0
