iter	Logloss
0	0.6669736852
1	0.6439124319
2	0.623652069
3	0.6060517144
4	0.5906058169
5	0.5769261292
6	0.5652677157
7	0.5538182724
8	0.5443406364
9	0.5348526961
10	0.5268933203
11	0.5197769445
12	0.5126682328
13	0.5069079059
14	0.5020290861
15	0.496888013
16	0.4922910285
17	0.4877826973
18	0.4840976527
19	0.4808493333
20	0.4778478512
21	0.4744213352
22	0.4714544139
23	0.4691760613
24	0.4665836753
25	0.4642130587
26	0.4621286612
27	0.4597859883
28	0.4581856903
29	0.4563572051
30	0.4547780696
31	0.4531398527
32	0.4515767932
33	0.4502998432
34	0.4489201628
35	0.4477813442
36	0.4467545129
37	0.4453314893
38	0.4441457314
39	0.4433331792
40	0.4423212901
41	0.4414637047
42	0.4407692188
43	0.4398789848
44	0.4391385616
45	0.4381670032
46	0.4374607656
47	0.4367391044
48	0.4362823253
49	0.4358512457
50	0.4353309318
51	0.434754555
52	0.4341266057
53	0.4338026142
54	0.4334486142
55	0.4331794729
56	0.4329112334
57	0.4323509251
58	0.4318998754
59	0.431471725
60	0.431034381
61	0.4306594557
62	0.4302261976
63	0.4299544547
64	0.4296706926
65	0.4294934859
66	0.4293040477
67	0.4289857861
68	0.4287292875
69	0.4285181159
70	0.4283311676
71	0.4280187919
72	0.4277318614
73	0.4275921053
74	0.4273770558
75	0.4272370803
76	0.4269502886
77	0.42680461
78	0.4266860898
79	0.4265097234
80	0.4262578754
81	0.426159343
82	0.426007996
83	0.4257016426
84	0.4255365655
85	0.4253215506
86	0.4252030709
87	0.4251338142
88	0.4249719274
89	0.4247767763
90	0.424646224
91	0.4245008934
92	0.4244424737
93	0.4243539287
94	0.4242301517
95	0.4241434207
96	0.42401732
97	0.4239420727
98	0.4237710415
99	0.4236626732
100	0.4235178544
101	0.423465344
102	0.4233830564
103	0.4233187567
104	0.4232570718
105	0.4232085937
106	0.4231447057
107	0.4230876564
108	0.4230399265
109	0.4229819106
110	0.4229027948
111	0.4227768079
112	0.422716083
113	0.4226519535
114	0.4226181823
